"life_expectancy","equal_resources","corruption_avg"
75.6,34.1,"under"
72.3,69.8,"over"
82.8,87,"over"
84.3,96.9,"over"
66.1,57,"under"
66.9,33.1,"over"
84.5,97.5,"over"
69.1,31.4,"under"
72.5,72.4,"under"
78.5,73,"under"
71,21.6,"under"
68.1,3,"under"
80.5,28.2,"under"
78.4,87.5,"over"
75.9,40.3,"under"
78.6,63.6,"over"
81.8,91.2,"over"
74.5,27.8,"under"
73.7,15.8,"under"
73.3,30.9,"under"
65.7,8.9,"under"
74.3,21,"under"
62.9,27.1,"under"
67.2,10.3,"under"
80.8,40,"under"
68.6,56.3,"over"
59.7,2.2,"under"
70.8,19.5,"under"
74.7,74.4,"under"
64.1,24,"under"
77,72.2,"over"
69.1,51.9,"under"
69.5,26.7,"under"
66.7,51.4,"under"
72.4,57.7,"under"
83,95.2,"over"
NA,76.6,"under"
78.1,51.8,"under"
65.2,26.6,"under"
70,33.2,"under"
67.7,66.9,"under"
NA,96.2,"over"
78.6,55.6,"under"
66.6,28.2,"under"
75.1,7.6,"under"
65.3,71.6,"under"
74.7,92,"over"
62.5,34.5,"under"
70.4,16.7,"under"
71.9,59.5,"under"
59.9,28.5,"under"
71.5,32.4,"under"
79.2,38.2,"under"
63.2,27.8,"under"
64,26.6,"under"
62,29.5,"under"
61.6,15.7,"under"
63.3,39.5,"under"
71,22.3,"under"
82.2,92.4,"over"
82.7,83.2,"over"
69.8,71.5,"over"
62.3,16.2,"under"
76.2,76,"over"
52.9,13.9,"under"
80,55.5,"over"
79.8,92.8,"over"
71.3,38.3,"under"
77.2,64.1,"under"
83.1,90.9,"over"
80.9,95.3,"over"
73.1,22.4,"under"
77.8,71.3,"under"
77.1,35.1,"under"
82.3,84.7,"over"
83.5,94.3,"over"
79.6,73.6,"over"
75.4,86.5,"over"
56.1,76.2,"under"
65.2,29,"under"
64.2,25.6,"under"
82.1,49.3,"under"
69.3,70.3,"under"
74.4,38,"under"
81.8,94.4,"over"
79.7,69.3,"under"
58.9,15.9,"under"
80.5,94.5,"over"
61.3,39,"under"
83.3,90.6,"over"
71.5,15.5,"under"
78.7,62.9,"over"
79.5,55.5,"under"
70.8,69.6,"under"
81.1,88.6,"over"
77.3,91.1,"over"
78.1,76.3,"under"
65,19.7,"under"
75.9,87.9,"under"
71.1,23.4,"under"
74.5,90.8,"over"
63.8,54.8,"under"
60.6,21.9,"under"
77.5,44.4,"under"
63,26.1,"under"
63.3,33.1,"under"
68.6,24.7,"under"
73.5,23.1,"under"
63.4,65.9,"under"
69,59.8,"under"
66.4,59.9,"under"
73.2,84.9,"over"
60.7,17.1,"under"
74.9,77,"over"
72.8,71.8,"under"
73,64.9,"under"
68.2,37.3,"under"
73.3,41.5,"under"
64.2,12.5,"under"
73.1,66.2,"under"
67.2,27.9,"over"
77.2,80.3,NA
69.1,77.3,"over"
59.2,8.7,"under"
77.8,78.2,"under"
NA,40.8,"under"
70.8,30.4,"under"
65,65.9,"under"
74.5,87.8,"under"
70.3,47.8,"under"
NA,73.2,NA
NA,17.4,NA
70.7,57.9,"under"
82,95.3,"over"
79.8,76.6,"under"
77.3,94.8,"over"
81.7,95.2,"over"
77,69.3,"under"
75.1,65.4,"over"
69.1,52.2,"under"
78.8,86.2,"over"
78.5,90.2,"over"
82,95.5,"over"
79.5,95.7,"over"
81,96.5,"over"
66.3,33.8,"under"
78.5,96,"over"
68.3,70.5,NA
81.8,82.2,"over"
81.3,90.9,"over"
69.5,66.9,"under"
NA,89,"over"
83,97,"over"
83.3,79.4,"over"
83.3,93.9,"under"
75.4,90.8,"over"
82,96.4,"over"
76.8,75.1,"under"
75,84,"over"
81.3,95.7,"over"
75,87.6,"over"
76.7,82.1,"over"
81.9,93.2,"over"
82.6,98.6,"over"
77.6,88.2,"over"
76.4,14.8,"under"
75.4,55.3,"over"
67.3,55.7,"over"
77.1,86.4,"over"
76,78.7,"under"
73.8,90,"over"
85.1,92,"over"
77.7,78.8,"over"
81.4,91.7,"over"
68.9,23.6,"under"
65,75.1,"over"
73.6,87.5,"over"
77.2,65.5,"over"
NA,66.7,NA
